epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,2851.86,1.46098,1.46512,1.17154,0.6734,0.5372,0.56229,0.23479,2.28012,2.90989,1.65449,0.000287801,0.000287801,0.000287801
123,2872.72,1.43259,1.45028,1.16346,0.68737,0.53268,0.56143,0.23403,2.28349,2.90464,1.65975,0.000278369,0.000278369,0.000278369
124,2897.96,1.45903,1.4729,1.18462,0.63097,0.55691,0.56935,0.22645,2.26077,2.87626,1.6416,0.000268938,0.000268938,0.000268938
125,2920.29,1.45453,1.44182,1.17188,0.66323,0.55779,0.56912,0.22956,2.32844,2.8068,1.66802,0.000259506,0.000259506,0.000259506
126,2939.65,1.42854,1.4206,1.17065,0.67639,0.53488,0.56108,0.22145,2.32631,2.86762,1.67795,0.000250075,0.000250075,0.000250075
127,2962.02,1.42077,1.42272,1.17449,0.64449,0.56068,0.57967,0.24058,2.24635,2.77396,1.62001,0.000240644,0.000240644,0.000240644
128,2985.29,1.43779,1.44627,1.18149,0.67262,0.50861,0.56404,0.23634,2.29565,2.84028,1.63853,0.000231212,0.000231212,0.000231212
129,3006.27,1.43567,1.41638,1.1636,0.66306,0.52911,0.55553,0.23037,2.28457,2.80104,1.65705,0.000221781,0.000221781,0.000221781
130,3027.18,1.42371,1.40655,1.15576,0.6705,0.52921,0.58438,0.24021,2.28018,2.77924,1.65159,0.000212349,0.000212349,0.000212349
131,3049.63,1.42164,1.3897,1.16525,0.69573,0.50891,0.57347,0.24648,2.27639,2.81425,1.6332,0.000202918,0.000202918,0.000202918
132,3069.69,1.40709,1.39476,1.17104,0.7346,0.51396,0.56581,0.24215,2.25224,2.88307,1.61831,0.000193487,0.000193487,0.000193487
133,3091.97,1.42583,1.39188,1.16197,0.63802,0.54562,0.56969,0.24298,2.29594,2.78421,1.67349,0.000184055,0.000184055,0.000184055
134,3113.46,1.41479,1.3768,1.1446,0.64612,0.522,0.55459,0.23778,2.33125,2.8452,1.66368,0.000174624,0.000174624,0.000174624
135,3135.95,1.41761,1.40198,1.16238,0.67196,0.53176,0.55862,0.24467,2.28214,2.86088,1.62742,0.000165192,0.000165192,0.000165192
136,3156.86,1.40442,1.38568,1.15983,0.70479,0.50217,0.5666,0.24396,2.29364,2.84521,1.65831,0.000155761,0.000155761,0.000155761
137,3179.57,1.40043,1.36679,1.1508,0.73024,0.49585,0.5572,0.23392,2.34715,2.88152,1.67092,0.00014633,0.00014633,0.00014633
138,3199.55,1.41866,1.39276,1.1395,0.65123,0.53681,0.56992,0.23912,2.32824,2.87234,1.66427,0.000136898,0.000136898,0.000136898
139,3220.18,1.40954,1.37671,1.15264,0.69498,0.51541,0.56861,0.24182,2.31281,2.85211,1.64974,0.000127467,0.000127467,0.000127467
140,3246.72,1.39196,1.34309,1.14525,0.6287,0.53541,0.5607,0.24048,2.3014,2.86472,1.65797,0.000118035,0.000118035,0.000118035
141,3272,1.41921,1.31122,1.1417,0.67652,0.51583,0.55253,0.23336,2.30106,2.90792,1.65599,0.000108604,0.000108604,0.000108604
142,3294.39,1.39666,1.27183,1.11193,0.66886,0.52893,0.56176,0.23382,2.30506,2.87285,1.66447,9.91726e-05,9.91726e-05,9.91726e-05
143,3318.33,1.41883,1.30644,1.13749,0.65751,0.55648,0.58206,0.24125,2.32058,2.80938,1.66445,8.97412e-05,8.97412e-05,8.97412e-05
144,3337.49,1.37735,1.21471,1.08786,0.66368,0.52278,0.55966,0.23545,2.33068,2.96019,1.64837,8.03098e-05,8.03098e-05,8.03098e-05
145,3362.78,1.39877,1.26278,1.12632,0.706,0.50946,0.56447,0.24212,2.29461,2.88132,1.63488,7.08784e-05,7.08784e-05,7.08784e-05
146,3384.98,1.34701,1.21669,1.09518,0.69468,0.52801,0.57442,0.24023,2.29988,2.84187,1.65301,6.1447e-05,6.1447e-05,6.1447e-05
147,3404.43,1.36748,1.2241,1.09827,0.70776,0.51672,0.57936,0.23934,2.31764,2.88006,1.66379,5.20156e-05,5.20156e-05,5.20156e-05
148,3424.55,1.38781,1.23587,1.10364,0.71193,0.50512,0.57551,0.24116,2.3086,2.86939,1.65432,4.25842e-05,4.25842e-05,4.25842e-05
149,3450.96,1.35406,1.2033,1.10263,0.68993,0.49999,0.56428,0.23821,2.3124,2.90453,1.64857,3.31528e-05,3.31528e-05,3.31528e-05
